PicHandlingTime	PicGrabTime	Rearrangement-Calc-Time	Movement-Calc-Time	Finishing-Calc-Time	ResetPositionTime	StreamTime	TriggerTime
1.7427e-05	4.9575e-05	2.013e-05	0.000199504	0.00199924	3.0947e-05	0.016657	3.275e-05
1.5023e-05	5.6786e-05	2.1332e-05	0.000216029	0.00195628	5.5585e-05	0.0168584	6.9706e-05
1.4422e-05	4.0862e-05	2.0431e-05	0.000240666	0.00145151	2.9445e-05	0.0157533	3.1247e-05
2.644e-05	0.00012499	0.00160745	4.808e-06	0.00389723	6.2495e-05	0.0166646	9.3743e-05
1.3821e-05	7.241e-05	2.0431e-05	0.000221137	0.00128085	3.0647e-05	0.0164605	4.8974e-05
1.4422e-05	5.8289e-05	1.5323e-05	0.000150228	0.00189709	3.3952e-05	0.0153816	3.7257e-05
2.0131e-05	5.5584e-05	2.2835e-05	0.000291143	0.00222519	4.8674e-05	0.0157713	5.8589e-05
3.7257e-05	0.00022354	3.1248e-05	0.000178772	0.00292976	3.0346e-05	0.0156971	4.4468e-05
1.4422e-05	5.1679e-05	2.1333e-05	0.000266806	0.00147314	3.1548e-05	0.016661	3.4252e-05
1.7126e-05	4.567e-05	2.1032e-05	0.000107563	0.00149267	3.2149e-05	0.0156142	3.4853e-05
1.5924e-05	6.1894e-05	0.00103117	1.202e-06	0.00369442	3.0947e-05	0.0167856	5.0476e-05
3.1548e-05	0.000104259	3.4553e-05	0.000399908	0.00267617	4.567e-05	0.015524	3.3351e-05
1.322e-05	5.0476e-05	1.5624e-05	0.000182979	0.00141155	3.0046e-05	0.0150009	3.1247e-05
4.7773e-05	6.4298e-05	1.4722e-05	0.000135206	0.00127484	3.1548e-05	0.0150802	4.8374e-05
1.3821e-05	4.597e-05	1.4121e-05	0.00013821	0.00167745	3.0646e-05	0.0150394	3.9661e-05
6.3396e-05	6.2796e-05	2.0431e-05	8.8335e-05	0.00344234	3.0647e-05	0.0176699	4.4768e-05
2.7041e-05	5.6185e-05	1.5324e-05	0.000252985	0.00141455	3.0647e-05	0.0148588	4.2965e-05
1.352e-05	5.6486e-05	2.8544e-05	0.000256891	0.00163719	5.7687e-05	0.0149204	7.0608e-05
2.4036e-05	0.000105761	2.2535e-05	0.000309771	0.00179133	2.4037e-05	0.0158215	2.7642e-05
1.5624e-05	5.2279e-05	1.6525e-05	0.000347028	0.0019701	3.0347e-05	0.0151482	3.5153e-05
1.352e-05	4.567e-05	4.2064e-05	0.000186885	0.00192353	5.5284e-05	0.0152746	0.000105761
2.6441e-05	0.000118079	2.6139e-05	0.000294449	0.00174866	2.9445e-05	0.0157662	3.1247e-05
6.5199e-05	0.00010546	2.3136e-05	0.000198001	0.0023673	6.0692e-05	0.0160471	7.9321e-05
1.5023e-05	6.9405e-05	1.6826e-05	0.000324193	0.0017072	2.8243e-05	0.0147777	3.0947e-05
